"count_date","location_id","location","daily_cars","daily_bus","daily_peds","daily_bike"
2015-04-22,4906,"KEELE ST AT ROGERS RD (PX 394)",13470,371,2874,27
2015-04-22,6051,"JUNCTION RD AT KEELE ST (PX 1068)",15006,282,333,64
2015-05-13,4398,"STEELES AVE W AT IRONDALE DR & PEARCE RD",16046,171,194,107
2015-05-13,4403,"MURRAY ROSS PKWY AT STEELES AVE W",20542,445,181,3
2015-05-13,4491,"JANE ST AT STEELES AVE W",30621,527,1910,6
2015-05-13,4525,"KEELE ST AT STEELES AVE W",35190,941,1414,2
2015-05-13,4772,"STEELES AVE W AT FOUNDERS RD",19804,635,233,4
2015-05-13,5577,"STEELES AVE W AT BLACK HAWKWAY & NEW WESTMINSTER DR",22203,329,709,45
2015-05-13,5578,"STEELES AVE W AT CONLEY ST & HIDDEN TRL",23046,338,600,7
2015-05-13,5579,"STEELES AVE W AT PETROLIA RD & TANDEM RD",25434,386,484,10
2015-05-13,5626,"STEELES AVE W AT CAPSTAN GT & SHALE GT",23264,345,336,3
2015-05-13,6126,"STEELES AVE W AT HIGHWAY 400 E TCS & NORFINCH DR",21959,185,218,4
2015-05-13,22810,"STEELES AVE W AT 185M W OF HIDDEN TRAIL",23411,330,392,82
2015-05-13,28004,"STEELES AVE W AT 200M E OF ALNESS ST & HOME DEPOT ENT",21796,370,278,58
2015-05-14,4771,"HIGHWAY 27 AT STEELES AVE W",30386,181,70,1
2015-05-15,4440,"STEELES AVE W AT ALBION RD & HIGHWAY 50",26065,112,19,6
2015-05-15,24200,"SIGNAL HILL AVE AT STEELES AVE W & 407 ETR OFFICE",14223,100,305,2
2015-05-18,5507,"KIPLING AVE AT STEELES AVE W",20049,313,1133,3
2015-05-19,6053,"FALSTAFF AVE AT KEELE ST",16210,159,352,16
2015-10-14,37866,"CORNELL AVE AND GOLDWIN AVE AT JANE ST",12506,518,344,33
2015-11-25,37977,"DOWNSVIEW AVE AT JANE ST",18859,339,324,5
2015-11-26,4029,"FINCH AVE AT JANE ST (PX 534)",28778,697,6797,9
2016-02-23,4076,"KEELE ST AT ST REGIS CRES (PX 1215)",14811,209,1382,5
2016-02-23,4077,"FINCH AVE AT KEELE ST (PX 601)",14409,337,2673,9
2016-02-23,4078,"KEELE ST AT MURRAY ROSS PKWY & TANGIERS RD (PX 1450)",12866,273,100,0
2016-02-23,4079,"KEELE ST AT CANARCTIC DR & YORK BLVD (PX 956)",14314,901,891,2
2016-02-23,4523,"DOVEHOUSE AVE AT KEELE ST (PX 1869)",13769,165,264,4
2016-02-23,4909,"KEELE ST AT TORO RD (PX 1173)",11290,198,513,16
2016-02-23,4910,"KEELE ST AT PETRO CANADA & 160M S OF THE POND RD (PX 1545)",10767,215,11,26
2016-02-23,5553,"FINCH AVE AT TANGIERS RD (PX 1616)",14893,422,1532,4
2016-02-23,6138,"BROADOAKS DR AT KEELE ST (PX 928)",14695,154,1532,7
2016-02-23,11678,"KEELE ST AT THE POND RD (PX 1906)",14128,242,421,0
2016-02-27,4077,"FINCH AVE AT KEELE ST (PX 601)",13495,260,1885,0
2016-02-27,11678,"KEELE ST AT THE POND RD (PX 1906)",9678,180,203,0
2016-03-08,4068,"HIGHWAY 401 S TCS AT KEELE ST (PX 595)",25269,233,316,12
2016-03-08,4069,"HIGHWAY 401 N TCS AT KEELE ST (PX 596)",30894,221,487,11
2016-03-08,4279,"KEELE ST AT WHITBURN CRES (PX 1255)",17513,181,370,8
2016-03-08,4522,"CALVINGTON DR AT KEELE ST (PX 599)",18771,212,526,9
2016-03-08,4904,"KEELE ST AT TILBURY DR (PX 598)",19104,210,778,9
2016-03-08,4908,"DIANA DR AT KEELE ST (PX 1548)",17347,185,247,5
2016-03-08,28533,"KEELE ST AT VICTORY DR (PX 2283)",19208,195,1118,10
