"count_date","location","lng","lat","count_id","time_trend","daily_cars","daily_bus","daily_peds","daily_bike"
2012-01-10,"EVANS AVE AT TREEVIEW DR (PX 2250)",-79.536352,43.613525,28289,9,8658,143,109,5
2012-01-18,"BURNHAMTHORPE RD AT SHAVER AVE N",-79.55169676,43.6481778,28257,17,7123,250,200,22
2012-01-25,"BURNHAMTHORPE RD AT LAUREL AVE",-79.5555838,43.64727527,28269,24,7090,225,55,4
2012-01-26,"SHERWAY GT AT SHERWAY GARDENS ACCESS",-79.55690359,43.6101261810529,28271,25,6474,156,410,5
2012-01-26,"THE EAST MALL AT CLOVERDALE MALL EXIT WEST OF YARN RD",-79.55373688,43.63232441,28267,25,8621,109,14,3
2012-02-01,"THE EAST MALL AT VALHALLA INN ROAD (PX 2335)",-79.55769799,43.641484,28295,31,8819,170,288,8
2012-02-02,"HOLIDAY DR AT THE WEST MALL (PX 2215)",-79.568707,43.649406,28297,32,5679,197,585,11
2012-02-08,"OVIDA AVE AT SHAVER AVE",-79.54607217,43.63446736,28345,38,2718,9,93,5
2012-02-09,"SHAVER AVE S AT STATLER AVE",-79.54709192,43.63690854,28347,39,2739,11,77,9
2012-02-15,"PARK LAWN RD AT F G GARDINER EXPY S TCS & ACC TO LEGION (PX 989)",-79.485957,43.625702,28467,45,10723,146,105,2
2012-03-05,"BLOOR ST W AT JANE ST (PX 333)",-79.484483,43.64933,28525,64,16594,235,2516,0
2012-03-21,"DUNBLOOR RD AT DUNDAS ST W (PX 2428)",-79.533457,43.643601,28551,80,9841,298,186,45
2012-04-25,"BROW DR AT FORTY FIRST ST & LAKE SHORE BLVD",-79.5449518,43.59051581,28667,115,10690,191,419,149
2012-04-26,"BURLINGTON ST AT LAKE SHORE BLVD (PX 218)",-79.487348,43.61728,28675,116,8270,170,602,161
2012-04-26,"DUNDAS ST AT NEILSON DR & WEST MALL CRES (PX 883)",-79.562372,43.627342,28665,116,29404,489,255,37
2012-04-26,"HILLSIDE AVE AT LAKE SHORE BLVD W (PX 2136)",-79.490029,43.6111510019527,28679,116,7112,224,393,141
2012-04-26,"LAKE SHORE BLVD AT LEGION RD (PX 1994)",-79.483267,43.620511,28677,116,10844,134,442,194
2012-04-26,"LAKE SHORE BLVD AT MARINE PARADE DR & PARK LAWN RD (PX 230)",-79.481211,43.6229680022022,28689,116,15978,201,195,128
2012-04-26,"LAKE SHORE BLVD W AT ROYAL YORK RD",-79.49316585,43.60365161,28671,116,7952,76,602,160
2012-04-26,"LAKE SHORE BLVD W AT SUPERIOR AVE (PX 231)",-79.488664,43.6149489970499,28681,116,8841,137,2931,182
2012-04-30,"MELROSE ST AT ROYAL YORK RD",-79.49992643,43.61990506,28683,120,8618,307,550,90
2012-05-02,"ELDER AVE AT THIRTIETH ST",-79.53082486,43.5977626440617,28745,122,3712,91,140,48
2012-05-03,"BLOOR ST AT BRENTWOOD RD",-79.51358934,43.6468757979639,28685,123,13335,125,129,89
2012-05-03,"F G GARDINER EXPY ON/OFF RAMPS AT LAKE SHORE BLVD (PX 1944)",-79.47902,43.627305,28747,123,10370,127,176,15
2012-05-08,"PARK LAWN RD AT PARK LAWN GARDINER W RAMP (PX 1055)",-79.487754,43.627105,28749,128,11339,126,46,14
2012-05-17,"CIVIC CENTRE CRT AT THE WEST MALL (PX 1525)",-79.566001,43.642248,28783,137,7474,122,338,58
2012-05-28,"BLOOR ST AT MARKLAND E TCS DR (PX 1016)",-79.57078399,43.633556,28797,148,11034,217,280,117
2012-05-28,"BLOOR ST W AT GREEN LANES",-79.525634,43.6441886772779,28813,148,13207,350,1637,99
2012-05-28,"BLOOR ST W AT OLD MILL TRL",-79.49544373,43.6496050355522,28809,148,14481,117,467,176
2012-05-28,"BLOOR ST W AT RESURRECTION RD",-79.53081571,43.64303677,28811,148,12331,324,347,81
2012-05-30,"BLOOR ST AT MARKLAND W TCS DR (PX 1114)",-79.579827,43.6292910016054,28795,150,13163,199,375,63
2012-05-31,"BLOOR ST W AT ROYAL YORK RD",-79.51136332,43.64736297,28801,151,24937,432,4986,366
2012-06-13,"BLOOR ST W AT BRULE TER",-79.4896084,43.6477710761958,28857,164,14078,7,178,0
2012-06-28,"LEGION RD N AT FGG EXPWY EB OFF RAMP (PX 2040)",-79.489514,43.6251040000627,28899,179,7301,33,12,4
2012-07-18,"KIPLING AVE AT TORLAKE CRES",-79.52364625,43.61413204,28973,199,10485,168,166,35
